Target_Role,Job Title,Company,Job URL,Required_Degree,Extracted_Skills
Software Engineer,Software Engineer,WSO2,https://rooster.jobs/sl-jobs/software-engineer-380654,Not Specified / Equivalent Experience,"['Agile', 'SQL', 'REST API', 'C#', 'Design Patterns', 'Python', 'PostgreSQL']"
Software Engineer,Principal Software Engineer Developer,Mitra Innovation,https://linkedin.com/jobs/sl-jobs/software-engineer-271896,BSc (Hons) in Computer Science,"['Git', 'Data Structures', 'C#', 'Python', 'Unit Testing']"
Software Engineer,Junior Software Engineer Associate,IFS,https://rooster.jobs/sl-jobs/software-engineer-554020,BSc (Hons) in Software Engineering,"['C#', '.NET', 'Spring Boot', 'Data Structures', 'Design Patterns', 'Agile']"
Software Engineer,Lead Software Engineer Engineer,Mitra Innovation,https://topjobs.lk/sl-jobs/software-engineer-262819,BSc (Hons) in Computer Science,"['PostgreSQL', 'Agile', 'C#', 'Design Patterns', 'REST API', 'SQL', 'Spring Boot', 'Unit Testing']"
Software Engineer,Principal Software Engineer Developer,LSEG,https://rooster.jobs/sl-jobs/software-engineer-695202,BSc (Hons) in Computer Science,"['PostgreSQL', 'Data Structures', '.NET', 'C#']"
Software Engineer,Enterprise Software Engineer Architect,Commercial Bank,https://topjobs.lk/sl-jobs/software-engineer-362629,BSc in Information Technology,"['CI/CD', 'Agile', 'REST API', 'Java', 'Unit Testing', 'Design Patterns', 'Python', 'PostgreSQL']"
Software Engineer,Software Engineer Analyst,IFS,https://topjobs.lk/sl-jobs/software-engineer-220724,BSc (Hons) in Software Engineering,"['Java', 'CI/CD', 'C#', 'REST API', 'Design Patterns', 'SQL']"
Software Engineer,Enterprise Software Engineer Architect,Dialog Axiata,https://linkedin.com/jobs/sl-jobs/software-engineer-630175,BSc in Information Technology,"['REST API', 'Unit Testing', 'CI/CD', 'Docker', 'Agile', 'Python', 'Spring Boot', 'PostgreSQL']"
Software Engineer,Junior Software Engineer Associate,Dialog Axiata,https://rooster.jobs/sl-jobs/software-engineer-901929,BSc (Hons) in Computer Science,"['SQL', 'C#', 'CI/CD', 'Unit Testing', 'Docker', 'Agile', '.NET']"
Software Engineer,Software Engineer,Zone24x7,https://topjobs.lk/sl-jobs/software-engineer-115088,BSc (Hons) in Computer Science,"['SQL', 'Data Structures', 'Agile', 'Spring Boot', '.NET', 'Design Patterns', 'Unit Testing', 'Java']"
Software Engineer,Software Engineer Consultant,Brandix,https://topjobs.lk/sl-jobs/software-engineer-711382,BSc in Information Technology,"['PostgreSQL', 'Spring Boot', '.NET', 'Docker', 'Design Patterns', 'Git', 'C#', 'CI/CD']"
Software Engineer,Associate Software Engineer,CodeGen,https://linkedin.com/jobs/sl-jobs/software-engineer-945982,BSc in Information Technology,"['.NET', 'CI/CD', 'Java', 'Python', 'C#']"
Software Engineer,Enterprise Software Engineer Architect,WSO2,https://topjobs.lk/sl-jobs/software-engineer-359931,Not Specified / Equivalent Experience,"['Docker', 'Java', 'Git', 'Data Structures', 'SQL', 'REST API', 'CI/CD', 'Agile']"
Software Engineer,Enterprise Software Engineer Architect,WSO2,https://topjobs.lk/sl-jobs/software-engineer-554962,BSc in Information Technology,"['Python', 'Design Patterns', 'CI/CD', 'Data Structures', 'PostgreSQL']"
Software Engineer,Enterprise Software Engineer Architect,Virtusa,https://topjobs.lk/sl-jobs/software-engineer-550408,BSc (Hons) in Computer Science,"['.NET', 'REST API', 'SQL', 'CI/CD', 'Git']"
Software Engineer,Software Engineer Analyst,Octave (John Keells Group),https://linkedin.com/jobs/sl-jobs/software-engineer-984152,BSc (Hons) in Software Engineering,"['Java', 'REST API', 'Unit Testing', 'Docker']"
Software Engineer,Software Engineer Consultant,CodeGen,https://topjobs.lk/sl-jobs/software-engineer-198236,BSc (Hons) in Software Engineering,"['Docker', 'C#', 'CI/CD', 'Design Patterns', 'Spring Boot', 'Unit Testing']"
Software Engineer,Software Engineer,IFS,https://topjobs.lk/sl-jobs/software-engineer-443131,Not Specified / Equivalent Experience,"['Design Patterns', 'Data Structures', 'Git', 'Java', '.NET']"
