Job Title,Company,Job URL,Description
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/516419,"At Coullax, we Build the Unbuilt , creating cutting edge AI and blockchain solutions. We’re looking for experienced engineers who take ownership, move fast, and are comfortable building across diverse, high impact projects.What You’ll DoDesign and build scalable systems (Go, PostgreSQL)Develop high performance frontends (React, Next.js)Integrate AI features (LLMs, LangChain, RAG)Lead technical decisions, code reviews, and architectureMentor junior engineers and shape engineering cultureWhat We’re Looking For3+ years of software engineering experienceStrong in Golang, React/Next.js, PostgreSQLExperience with system design & distributed systemsFamiliar with LLMs, AI integrations, or RAG pipelinesSolid DevOps understanding (Docker, CI/CD, cloud)Highly adaptable, strong ownership mindsetNice to HaveBlockchain / Web3 experienceLangChain or AI pipeline experienceEvent-driven systems (Kafka, RabbitMQ)What You GetWork on high-impact, real-world productsModern stack + real technical ownershipLeadership opportunities + strong engineering cultureFlexible work + performance-based rewardsApplySend your CV + a short note on what you’ve built📞 070 11 777 11 | 011 214 2278"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/515990,"The RoleJoin a dynamic team working on a world-renowned core banking application, gaining valuable industry exposure and insights into complex financial systems.RequirementsBachelor's degree in Computer Science (or related field)2-5 years of experience in Finacle Banking SystemExpertise in PL/SQL, Shell Scripting, and Java with a strong focus on data migration, performance tuning, and application supportHands on experience of working in a Finacle Production environmentExcellent analytical and problem-solving skillsA collaborative and dedicated team playerExperience with Jira, bitbucket, GitAt least Intermediate level English (written and verbal)Key ResponsibilitiesDesign and execute data migration strategies for large-scale banking databases.Optimize PL/SQL procedures, functions, triggers, and queries for better performance.Perform data validation, reconciliation, and integrity checks to ensure accuracy.Develop and maintain Shell scripts for automation, job scheduling, and log monitoring.Manage cron jobs for batch processing and automated maintenance.Debug and maintain Java-based middleware components.
Work on API integrations with core banking applications."
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/443690,"Job Title: Software Engineer / Senior Software Engineer (Python)Job Summary:Seeking skilled and passionate Software Engineers / Senior Software Engineers with a minimum of 2 years of industry experience (excluding internships) and a strong Python background. Front-end development skills are a preferred qualification.Key Responsibilities:Design, develop, test, and maintain scalable and robust solutions using PythonCollaborate with cross-functional teams to define, design, and ship new featuresWrite clean, maintainable, and efficient codeConduct code reviews to ensure code qualityTroubleshoot, debug and upgrade existing softwareProvide technical guidance and solutions to complex problemsWork closely with product managers, designers, and other stakeholdersCommunicate effectively to ensure alignment and transparencyStay updated with the latest industry trends and technologiesProactively seek opportunities to improve software and development processesQualifications:Bachelor's degree in Computer Science, Software Engineering, or a related fieldMinimum of 2 years of professional experience in software development (excluding internships)Proven experience with Python and its frameworks (e.g., Django, Flask)Strong proficiency in PythonExperience with Python data libraries (e.g., pandas, NumPy, scipy)Experience with version control systems (e.g., Git)Familiarity with RESTful APIs and web servicesThorough knowledge of databases (SQL and NoSQL)Excellent problem-solving and analytical skillsStrong communication and teamwork abilitiesSelf-motivated with a passion for continuous learning and improvementPreferred Qualifications:Front-end development skills with modern JavaScript frameworksExperience with cloud platforms (e.g., AWS, Azure, GCP)Knowledge of containerization technologies (e.g., Docker, Kubernetes)"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/516370,"Job Overview:
We are looking for a motivated Software Engineer (.NET) to design, develop, and maintain high-quality applications. The ideal candidate should have a strong foundation in .NET technologies and a passion for writing clean, efficient code.Key Responsibilities:Develop, test, and maintain applications using .NET (C#, ASP.NET, .NET Core)Work with APIs, web services, and database systemsCollaborate with cross-functional teams to define and implement solutionsDebug and resolve technical issuesWrite clean, scalable, and maintainable codeParticipate in code reviews and follow coding best practicesAssist in system design and architecture discussionsRequired Skills & Qualifications:Bachelor’s degree in Computer Science / IT or related field1–3 years of experience in .NET developmentStrong knowledge of C#, ASP.NET, .NET CoreExperience with SQL Server or other databasesFamiliarity with RESTful APIsGood problem-solving and analytical skillsUnderstanding of OOP conceptsNice to Have:Experience with Angular/ReactKnowledge of Azure or cloud platformsExposure to microservices"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/509154,"Applicant's ProfileDegree from a recognized university preferably a degree in Computer Science/ Engineering/IT.3+ years of experience with .NET technologiesSkilled in designing, developing, and maintaining scalable microservices within a C# .NET environmentSound knowledge in web-related development, OOA, OOD (SOLID), and design patterns.Excellent troubleshooting and communication Skills, Possessing good interpersonal, analytical, and programming skills.MS SQL and MYSQL database management systems experience.Basic knowledge of SSRS and SSIS.Experience in:Microservices.NET framework v4+, .Net Core, ASP.NET Web Forms, MVC, Blazor and Web API.Source controlling tools such as GIT and SVN.SOAP/REST services.Working with Angular and JQuery."
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/516405,"🔍 About the RoleWe are looking for a passionate and skilled Java Software Engineer to join our growing team. The ideal candidate will be responsible for designing, developing, and maintaining high-performance applications while collaborating with cross-functional teams to deliver scalable solutions.🎯 Key ResponsibilitiesDesign, develop, and maintain Java-based applicationsWrite clean, efficient, and well-documented codeParticipate in system design and architecture discussionsTroubleshoot, debug, and upgrade existing systemsCollaborate with frontend developers, QA teams, and product managersDevelop and integrate APIs and third-party servicesEnsure application performance, scalability, and securityConduct code reviews and follow best coding practices✅ Requirements2+ years of experience in Java developmentStrong knowledge of Core Java, OOP concepts, and design patternsExperience with Spring Boot / Spring FrameworkFamiliarity with RESTful APIs and microservices architectureExperience with databases such as MySQL, PostgreSQL, or MongoDBUnderstanding of version control systems (e.g., Git)Knowledge of Docker / CI-CD pipelines is a plusStrong problem-solving and analytical skills💡 Nice to HaveExperience with cloud platforms (AWS, Azure, or GCP)Knowledge of frontend technologies (React, Angular)Familiarity with Agile/Scrum methodologies👤 Ideal CandidateA proactive and self-motivated individualStrong team player with good communication skillsWillingness to learn and adapt to new technologies"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/516418,"Ready to fire up your dev career? 🔥At Coullax, we Build the Unbuilt creating cutting edge AI and blockchain products for the future.
We’re looking for curious, fast learners who enjoy solving real problems and building real things.What You’ll DoWork on real product features using React, Next.js, and GoDebug, solve problems, and actually ship codeCollaborate in Agile teams stand-ups, code reviews, the worksIntegrate with REST APIs and work with PostgreSQL databasesLearn fast and contribute from day oneWhat We’re Looking ForBasics in JS/TS + ReactFamiliar with Go, Java, or Python + REST APIsUnderstanding of relational databasesAgile mindset and strong problem-solving attitudeCurrently pursuing a degree in CS, Software Engineering, or related fieldNice to HaveAI / Blockchain exposurePersonal or open-source projectsWhat You GetWork on real global productsModern tech stack + mentorshipFlexible, fast paced, builder cultureApply
Send your CV + a short note on what you’ve built📞 070 11 777 11 | 011 214 2278"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/515973,"🚨 Hiring: Contract Senior Software Engineer (Code Review Specialist) – Remote (United States)We are looking for an experienced Senior Software Engineer to conduct a comprehensive codebase review of a Python-based sales assistant application.This is a short-term contract focused purely on technical review and recommendations, no coding or implementation required.📍 Location: Remote (Sri Lanka-based candidates preferred)
⏱ Contract Duration: ~40 hours total (flexible over 1–2 weeks)
💰 Compensation: LKR 6,000 – 13,000 per hour (based on experience)About the ProjectThe application is built using Python with a Streamlit-based UI and runs locally. The system already includes unit, integration, and system tests and follows standard development practices.We are seeking expert feedback to ensure the application is secure, scalable, performant, and production-ready.Key ResponsibilitiesPerform a full codebase and architecture review (Python backend + Streamlit UI)Identify improvements in design, performance, and maintainabilityAssess security practices and potential vulnerabilitiesReview test coverage and testing strategyDeliver a structured technical report with prioritized recommendationsJoin a 1–2 hour discussion call to walk through findingsRequirements8+ years of Software Engineering experienceStrong expertise in Python developmentExperience with Streamlit or similar Python UI frameworksProven experience performing code reviews and architectural auditsFamiliarity with pytest/unittest, Git, and modern development practicesStrong written and verbal communication in EnglishNice to HaveExperience reviewing sales/CRM or data-driven applicationsFamiliarity with desktop/local Python appsExposure to Docker or deployment environmentsWhat We Offer✔ Fully remote and flexible engagement
✔ Clear scope and independent work
✔ Prompt payment after completion
✔ Potential for future collaboration"
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/512028,"Qualifications:Education: Bachelor’s degree in Computer Science, Computer Engineering, or a related field is required. Advanced degrees or relevant certifications are a plus.Experience: A minimum of 1+ years of professional experience as a Python developer is essential. Experience in leading projects or teams will be an advantage.Technical Skills:Python Expertise: Strong understanding of Python programming language and its associated web frameworks, such as, Flask, or FastAPI. Ability to write clean, maintainable, and efficient code.Web Frameworks: Proficiency in developing robust and scalable web applications using popular Python frameworks. Familiarity with asynchronous programming in Python is desirable.Database Management: Hands-on experience working with relational and non-relational databases, including MySQL, PostgreSQL, MongoDB, etc. Ability to design, optimise, and maintain complex database schemas.API Development: Experience in building and consuming RESTful APIs, with an understanding of API security practices and versioning. Knowledge of GraphQL is a plus.Version Control: Proficient in using Git for version control and collaboration. Experience with CI/CD pipelines and tools like Jenkins or GitLab CI is a bonus.Additional Skills:Problem-Solving: Strong analytical and problem-solving skills, with the ability to troubleshoot and debug code effectively.Communication: Excellent verbal and written communication skills, with the ability to convey technical concepts clearly to both technical and non-technical stakeholders. Ability to work collaboratively in a team environment.Front-End Technologies: Familiarity with front-end technologies such as JavaScript, HTML, CSS, and modern JavaScript frameworks (React, Angular, Vue.js) is advantageous.Cloud Platforms: Experience with cloud platforms like Google Cloud Platform (GCP), AWS, or Microsoft Azure. Knowledge of cloud services, serverless architecture, and infrastructure as code (Terraform, CloudFormation) is preferred.Containerization: Experience with containerization technologies like Docker and orchestration tools like Kubernetes. Understanding of microservices architecture and deployment strategies in a cloud environment."
N/A,Coullax (or equivalent),https://rooster.jobs/jobs/509286,"Location: IslamabadPositions: 4Mode of work: On-SiteQualificationsFresh to 1 year of development experience with either Python (Django) or Node.js.Basic proficiency in backend development using Python/Django or Node.js, TypeScript, JavaScript.Understanding of backend frameworks such as Django, Express.js, or NestJS.Familiarity with building and consuming RESTful APIs.Basic knowledge of modern authorization mechanisms such as JSON Web Token (JWT).Exposure to relational and NoSQL databases like MySQL, MongoDB, or PostgreSQL.Understanding of version control systems like Git, GitHub, or Bitbucket.Awareness of Docker, Serverless architecture, and cloud platforms (AWS, Azure) is a plus.Familiarity with Agile/Scrum workflows.Good problem-solving, team collaboration, and communication skills (verbal & written).EducationBachelor’s degree in Information Technology, Software Engineering, Computer Science or relevant.ResponsibilitiesSupport in the development of web applications from concept to deployment under supervision.Assist in building backend logic using Python/Django or Node.js, and integrate RESTful APIs.Write clean, testable, and reusable code in collaborative development environments.Work with MySQL, MongoDB, or other databases for storing and retrieving application data.Maintain and improve existing codebases by fixing bugs and adding small features or modules.Participate in sprint meetings and team discussions to learn and contribute.Understand and gather basic client requirements with support from senior team members.Stay curious and up-to-date with backend technologies and development trends.Compensation & BenefitsMarket Competitive SalaryPersonal and Family Medical InsurancePersonal Life InsuranceParental Medical InsurancePersonal and Family OPDWeekly MealEOBIPaid Technical Certifications"
